Afghanistan,14,0,14
Albania,157,79,78
Algeria,34,11,23
American Samoa,29,0,29
Andorra,129,2,127
Angola,20,1,19
Anguilla,165,135,30
Antigua and Barbuda,154,95,59
Argentina,208,80,128
Armenia,81,42,39
Aruba,123,87,36
Australia,185,32,153
Austria,224,67,157
Azerbaijan,51,13,38
Bahamas,255,137,118
Bahrain,106,65,41
Bangladesh,59,27,32
Barbados,280,156,124
Belarus,55,15,40
Belgium,226,67,159
Belize,165,90,75
Benin,31,0,31
Bermuda,188,151,37
Bhutan,27,2,25
Bolivia,195,154,41
Bonaire,104,73,31
Bosnia-Herzegovina,96,67,29
Botswana,144,89,55
Bouvet Island,93,67,26
Brazil,203,71,132
Brunei,190,56,134
Bulgaria,202,67,135
Burkina Faso,43,15,28
Burundi,24,5,19
Cambodia,44,18,26
Cameroon,33,5,28
Canada,200,51,149
Cape Verde,40,16,24
Cayman Islands,160,129,31
Central African Republic,26,2,24
Chad,28,6,22
Chile,216,87,129
China,81,51,30
Christmas Island,59,33,26
Cocos (Keeling) Islands,59,33,26
Colombia,129,88,41
Comoros,22,0,22
Democratic Republic of the Congo,22,0,22
Republic of Congo,26,0,26
Cook Islands,35,2,33
Costa Rica,194,86,108
Croatia,197,65,132
Cuba,54,15,39
Curacao,105,74,31
Cyprus,212,70,142
Czech Republic,188,67,121
Denmark,224,67,157
Djibouti,19,0,19
Dominica,154,88,66
Dominican Republic,137,104,33
Ecuador,273,225,48
Egypt,50,22,28
El Salvador,170,77,93
Equatorial Guinea,22,1,21
Eritrea,18,2,16
Estonia,209,67,142
Ethiopia,47,31,16
Falkland Islands,74,45,29
Faroe Islands,94,67,27
Fiji,176,115,61
Finland,227,67,160
France,223,67,156
French Guiana,96,67,29
Gabon,24,0,24
Gambia,132,89,43
Georgia,137,93,44
Germany,228,66,162
Ghana,64,25,39
Gibraltar,62,33,29
Greece,221,66,155
Greenland,96,67,29
Grenada,172,106,66
Guadeloupe,96,67,29
Guam,73,39,34
Guatemala,173,78,95
Guinea,56,0,56
Guinea Bissau,26,1,25
Guyana,96,38,58
Haiti,258,233,25
Holy See,44,1,43
Honduras,175,78,97
Hong Kong,321,193,128
Hungary,214,67,147
Iceland,207,66,141
India,88,43,45
Indonesia,110,73,37
Iran,95,71,24
Iraq,55,32,23
Ireland,259,101,158
Israel,229,88,141
Italy,228,66,162
Ivory Coast,28,0,28
Jamaica,166,105,61
Japan,224,65,159
Jordan,56,31,25
Kazakhstan,94,49,45
Kenya,87,38,49
Kiribati,129,69,60
Kosovo,177,152,25
Kuwait,101,50,51
Kyrgyzstan,94,58,36
Laos,235,210,25
Latvia,206,66,140
Lebanon,119,96,23
Lesotho,118,66,52
Liberia,41,14,27
Libya,22,0,22
Liechtenstein,197,66,131
Lithuania,207,67,140
Luxembourg,222,67,155
Macau,114,79,35
Macedonia,167,75,92
Madagascar,262,237,25
Malawi,115,63,52
Malaysia,351,206,145
Maldives,294,237,57
Mali,57,22,35
Malta,220,66,154
Marshall Islands,80,37,43
Martinique,251,223,28
Mauritania,30,0,30
Mauritius,331,219,112
Mayotte,93,68,25
Mexico,187,69,118
Micronesia,45,3,42
Moldova,87,43,44
Monaco,201,67,134
Mongolia,87,54,33
Montenegro,157,70,87
Montserrat,173,142,31
Morocco,96,63,33
Mozambique,39,7,32
Myanmar,35,9,26
Namibia,96,42,54
Nauru,56,0,56
Nepal,20,1,19
Netherlands,207,67,140
Netherlands Antilles,109,80,29
New Caledonia,115,85,30
New Zealand,211,56,155
Nicaragua,294,200,94
Niger,51,18,33
Nigeria,36,1,35
Niue,35,1,34
Norfolk Island,29,2,27
North Korea,27,3,24
Northern Mariana Islands,27,1,26
Norway,216,66,150
Oman,104,64,40
Pakistan,32,7,25
Palau,281,237,44
Panama,219,115,104
Papua New Guinea,119,69,50
Paraguay,161,54,107
Peru,151,94,57
Philippines,77,40,37
Pitcairn Island,26,0,26
Poland,209,66,143
Polynesia,107,77,30
Portugal,224,67,157
Puerto Rico,70,38,32
Qatar,80,34,46
Reunion,92,67,25
Romania,201,67,134
Russia,98,19,79
Rwanda,45,15,30
Saint Helena,264,237,27
Saint Kitts and Nevis,188,145,43
Saint Lucia,137,89,48
Saint Pierre and Miquelon,94,67,27
Saint Vincent and Grenadines,269,237,32
Samoa,298,237,61
San Marino,130,1,129
Sao Tome and Principe,28,0,28
Saudi Arabia,46,0,46
Senegal,62,34,28
Serbia,151,58,93
Seychelles,349,237,112
Sierra Leone,60,14,46
Singapore,223,69,154
Sint Maarten,99,73,26
Slovakia,205,66,139
Slovenia,207,66,141
Solomon Islands,178,120,58
Somalia,14,0,14
South Africa,149,73,76
South Georgia and South Sandwich Islands,25,0,25
South Korea,223,95,128
South Sudan,26,3,23
Spain,228,66,162
Sri Lanka,44,10,34
Sudan,21,1,20
Suriname,94,44,50
Svalbard and Jan Mayen Islands,28,1,27
Swaziland,136,85,51
Sweden,227,66,161
Switzerland,214,66,148
Syria,23,2,21
Taiwan,152,42,110
Tajikistan,45,10,35
Tanzania,77,30,47
Thailand,120,73,47
Timor-Leste,54,29,25
Togo,264,237,27
Tokelau,31,1,30
Tonga,125,64,61
Trinidad and Tobago,149,85,64
Tunisia,102,67,35
Turkey,167,99,68
Turkmenistan,28,0,28
Turks and Caicos Islands,159,132,27
Tuvalu,296,237,59
Uganda,75,29,46
Ukraine,117,57,60
United Arab Emirates,82,39,43
United Kingdom,263,129,134
United States,157,38,119
Uruguay,190,71,119
Uzbekistan,55,20,35
Vanuatu,162,99,63
Venezuela,167,63,104
Vietnam,49,19,30
Virgin Islands,112,81,31
Wallis and Futuna Islands,27,2,25
Yemen,25,4,21
Zambia,119,71,48
Zimbabwe,115,77,38
xk,26,0,26
