time,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2
-26,3626750,19752414,19756634,9987723,8629347,17900380,101559307,33924467,76806579,45436288,126267133,21394582,20075412,90336111,106205141,6271368
-25,8749712,19752414,20970637,11162223,9232347,17832380,99452307,39126467,77831735,45848338,308157617,30842698,25670744,91707607,109331308,6512012
-24,10867343,24403992,20522637,13853223,11770347,18897380,119430485,38046967,83084572,50429742,314216031,118765544,98694778,113642113,121700292,13707848
-23,17429843,25841992,23742097,14630223,11091559,25147002,132672661,48338271,97952652,125202315,359021021,135913012,106986462,125466186,123373894,19023634
-22,19310343,68279187,28491874,16143223,12795559,36092456,123584834,74430453,102830487,121592178,350899976,139948046,113897646,134496004,336929830,18645044
-21,34946980,23887187,31078868,16267800,13630559,47763857,137498334,81234122,111477267,141943467,365193714,165900226,126377404,167058287,350014928,24521696
-20,38958580,37627882,32892741,37286800,15346559,93074808,139305837,89236468,135377148,193125723,369525848,166501318,143938312,228296689,383380556,24650234
-19,40641618,38790457,34385240,38285953,37632442,95057792,147025837,89651735,136553402,251285805,352320771,180426216,220242776,246221347,402558138,38872682
-18,29944618,54569162,39873893,38203953,48573442,92574213,205132265,100760039,206514369,435022698,453783187,201670912,241445420,361222591,491101429,118558104
-17,54263538,127554562,79975123,75340453,84558955,209152627,268627429,120366113,214179689,458985053,457828676,276733980,248546630,402229317,491129058,136220030
-16,80186357,132258914,127919140,112216053,112821368,195349857,292635936,141697975,196303595,458132624,499613247,287881010,291665054,418364773,504947758,228543216
-15,149643017,158489521,149212409,138372464,144301535,199741976,295862974,159190188,345293884,549125845,504838467,294392070,331383496,441924610,512446870,246293650
-14,149794487,159469655,185494727,139952582,186564401,247535554,379146926,208348297,394829060,635667219,545138951,310727627,384425392,600849303,603518558,283914158
-13,156422282,200072041,217483132,204552743,214683916,292878761,384913877,325009924,396246560,661617316,555623011,309247941,387921186,761770139,638347550,317927660
-12,178323642,266646310,284817208,211698661,226155804,297347454,384529678,341484687,410327085,635480343,599645246,330629967,397291195,629395349,644822010,427834104
-11,229128046,271183994,287337296,247006212,234602193,317706082,413466970,359366838,437875196,647151838,638314974,428249705,611760823,636953433,671164986,486906836
-10,264866856,280429389,332561158,252138428,275981694,402215084,468013845,442417102,629011437,759597044,711544528,701982570,655136559,761742234,697630280,582609698
-9,270370073,354615121,391017984,302354228,324213072,449274240,544692961,467835895,636949695,812486608,764257101,742800029,672956782,798657531,771982513,660055810
-8,378260797,383057261,419094490,355133764,367570137,498363673,562327482,484130033,674431263,800329924,763138419,758802862,747857376,779860392,771791675,660168294
-7,360538843,399739034,430283941,386172993,389015750,576554897,712268354,521438206,725704393,804569409,776551809,765868547,812539452,789676546,761964607,623907040
-6,372971399,400586698,423260192,406926564,438319335,607371190,608544662,522427439,723123485,795843057,738220564,748597583,891908405,772632324,763018895,646984829
-5,389265074,458169317,425891632,413500158,464623512,647993014,656425937,573879656,740310424,814910217,719344316,764779430,905643540,820770980,771263379,681675562
-4,377610717,468450443,431104731,419773508,508541099,695739568,699203858,602190123,786045821,822870779,740530961,739057064,903824778,841560349,730437845,696435969
-3,409746212,503456450,465302318,434363785,517278485,670155970,688409976,598686681,763534628,844654740,729060287,687923680,876806449,822488243,710891110,682808274
-2,438242599,521600067,448008896,458461102,533245912,699001558,644994968,654175704,772993163,839403552,709510821,715239521,857649143,772510930,668689679,724666953
-1,448889614,526488794,443377162,471350897,545520754,700259003,601620984,663764531,784233506,802228317,692090035,695254636,826705250,712623116,666501077,722226261
0,446130613,502645174,440541087,455241438,560788005,690443662,573855224,687023329,790056721,806627782,689037911,698013329,840384533,696472233,657386729,725248904
1,440391292,530682241,433365439,444065976,597507264,697448745,586223596,715575255,785701650,830481276,694561889,699784377,782914216,708357239,690883356,719460047
2,458998215,525382212,438004813,465296067,601257576,756378874,598851279,699792141,798098915,831940955,655656760,717073909,801755572,702732506,736451117,714449995
3,477422752,537668464,460639034,468947690,654280926,758638772,473676287,717400908,816880355,802759206,635841303,752683943,831480168,713941827,750844712,752560242
4,467110607,542218526,422861685,485087923,636398823,763732879,468897399,729662160,832686407,749023842,648440074,775508305,813084020,726338202,731497766,786308290
5,476148429,543175307,448788463,484698730,630376320,777820476,494958457,755413815,816856686,737352091,660419786,793202367,810773958,717611966,751423201,788963170
6,494492660,553501317,437362087,496922857,617041174,760915783,495918923,765164199,814804523,755541162,669924795,787792200,817570050,730456324,777177056,796011415
7,501944177,563031141,447257720,508499619,637368041,738316597,529530698,786478353,824095387,769040559,686795167,781398198,823573582,737752082,782059866,810021324
8,516721576,576598016,469129646,525666349,636482372,806181014,545232165,805752277,815187013,785234485,710226821,787890401,814190659,732113238,859748013,788463285
9,515983753,580984094,485874617,550153724,634029318,744494364,544428702,815046201,817931337,797264405,731259862,808846318,835073481,805930994,892438738,801043393
10,515603968,591820168,489389238,557776286,635120544,700429386,573750635,858112169,847887134,811258068,750185212,834387509,854028980,823176812,907369275,813630350
11,525766328,597370132,485157088,578637516,642091034,701860251,582683353,871742482,832412389,843394191,765613428,849911805,876471569,851147163,911461191,840679273
12,529918120,605505451,492767011,585947659,642836975,707791780,591202137,873754004,852431219,860856209,778686936,865854376,887035114,883761938,907143944,861538455
13,530829058,604015921,495559588,581300594,647572003,715047053,587542492,858497623,849113825,874946040,782309750,863093082,903694336,904506385,918052425,873017190
14,528528402,600082663,496940335,577287049,641373866,715617933,581670121,836261845,832995280,867343383,772627475,862341546,901930799,901612841,932138516,885161117
